index,annotation_symbol,rr_interval_samples,rr_interval_seconds,bpm,is_anomaly
370,N,293.0,0.8138888888888889,73.72013651877133,False
662,N,292.0,0.8111111111111111,73.97260273972603,False
946,N,284.0,0.7888888888888889,76.05633802816902,False
1231,N,285.0,0.7916666666666666,75.78947368421053,False
1515,N,284.0,0.7888888888888889,76.05633802816902,False
1809,N,294.0,0.8166666666666667,73.46938775510205,False
2044,A,235.0,0.6527777777777778,91.91489361702128,True
2402,N,358.0,0.9944444444444445,60.33519553072625,False
2706,N,304.0,0.8444444444444444,71.05263157894737,False
2998,N,292.0,0.8111111111111111,73.97260273972603,False
3282,N,284.0,0.7888888888888889,76.05633802816902,False
3560,N,278.0,0.7722222222222223,77.6978417266187,False
3862,N,302.0,0.8388888888888889,71.52317880794702,False
4170,N,308.0,0.8555555555555555,70.12987012987013,False
4466,N,296.0,0.8222222222222222,72.97297297297298,False
4764,N,298.0,0.8277777777777777,72.48322147651007,False
5060,N,296.0,0.8222222222222222,72.97297297297298,False
5346,N,286.0,0.7944444444444444,75.52447552447553,False
5633,N,287.0,0.7972222222222223,75.26132404181185,False
5918,N,285.0,0.7916666666666666,75.78947368421053,False
6214,N,296.0,0.8222222222222222,72.97297297297298,False
6527,N,313.0,0.8694444444444445,69.00958466453675,False
6823,N,296.0,0.8222222222222222,72.97297297297298,False
7106,N,283.0,0.7861111111111111,76.32508833922262,False
7391,N,285.0,0.7916666666666666,75.78947368421053,False
7670,N,279.0,0.775,77.41935483870968,False
7953,N,283.0,0.7861111111111111,76.32508833922262,False
8245,N,292.0,0.8111111111111111,73.97260273972603,False
8539,N,294.0,0.8166666666666667,73.46938775510205,False
8837,N,298.0,0.8277777777777777,72.48322147651007,False
9141,N,304.0,0.8444444444444444,71.05263157894737,False
9431,N,290.0,0.8055555555555556,74.48275862068965,False
9710,N,279.0,0.775,77.41935483870968,False
9998,N,288.0,0.8,75.0,False
10282,N,284.0,0.7888888888888889,76.05633802816902,False
10591,N,309.0,0.8583333333333333,69.90291262135922,False
10894,N,303.0,0.8416666666666667,71.2871287128713,False
11191,N,297.0,0.825,72.72727272727273,False
11480,N,289.0,0.8027777777777778,74.74048442906575,False
11781,N,301.0,0.8361111111111111,71.76079734219269,False
12066,N,285.0,0.7916666666666666,75.78947368421053,False
12350,N,284.0,0.7888888888888889,76.05633802816902,False
12645,N,295.0,0.8194444444444444,73.22033898305085,False
12949,N,304.0,0.8444444444444444,71.05263157894737,False
13266,N,317.0,0.8805555555555555,68.13880126182966,False
13562,N,296.0,0.8222222222222222,72.97297297297298,False
13842,N,280.0,0.7777777777777778,77.14285714285714,False
14131,N,289.0,0.8027777777777778,74.74048442906575,False
14423,N,292.0,0.8111111111111111,73.97260273972603,False
14710,N,287.0,0.7972222222222223,75.26132404181185,False
15011,N,301.0,0.8361111111111111,71.76079734219269,False
15310,N,299.0,0.8305555555555556,72.24080267558529,False
15607,N,297.0,0.825,72.72727272727273,False
15899,N,292.0,0.8111111111111111,73.97260273972603,False
16183,N,284.0,0.7888888888888889,76.05633802816902,False
16464,N,281.0,0.7805555555555556,76.86832740213524,False
16755,N,291.0,0.8083333333333333,74.22680412371133,False
17058,N,303.0,0.8416666666666667,71.2871287128713,False
17358,N,300.0,0.8333333333333334,72.0,False
17657,N,299.0,0.8305555555555556,72.24080267558529,False
17947,N,290.0,0.8055555555555556,74.48275862068965,False
18227,N,280.0,0.7777777777777778,77.14285714285714,False
18514,N,287.0,0.7972222222222223,75.26132404181185,False
18795,N,281.0,0.7805555555555556,76.86832740213524,False
19080,N,285.0,0.7916666666666666,75.78947368421053,False
19388,N,308.0,0.8555555555555555,70.12987012987013,False
19693,N,305.0,0.8472222222222222,70.81967213114754,False
19989,N,296.0,0.8222222222222222,72.97297297297298,False
20271,N,282.0,0.7833333333333333,76.59574468085107,False
20554,N,283.0,0.7861111111111111,76.32508833922262,False
20837,N,283.0,0.7861111111111111,76.32508833922262,False
21131,N,294.0,0.8166666666666667,73.46938775510205,False
21423,N,292.0,0.8111111111111111,73.97260273972603,False
21729,N,306.0,0.85,70.58823529411765,False
22029,N,300.0,0.8333333333333334,72.0,False
22321,N,292.0,0.8111111111111111,73.97260273972603,False
22603,N,282.0,0.7833333333333333,76.59574468085107,False
22881,N,278.0,0.7722222222222223,77.6978417266187,False
23164,N,283.0,0.7861111111111111,76.32508833922262,False
23453,N,289.0,0.8027777777777778,74.74048442906575,False
23756,N,303.0,0.8416666666666667,71.2871287128713,False
24053,N,297.0,0.825,72.72727272727273,False
24345,N,292.0,0.8111111111111111,73.97260273972603,False
24625,N,280.0,0.7777777777777778,77.14285714285714,False
24913,N,288.0,0.8,75.0,False
25197,N,284.0,0.7888888888888889,76.05633802816902,False
25485,N,288.0,0.8,75.0,False
25779,N,294.0,0.8166666666666667,73.46938775510205,False
26088,N,309.0,0.8583333333333333,69.90291262135922,False
26387,N,299.0,0.8305555555555556,72.24080267558529,False
26670,N,283.0,0.7861111111111111,76.32508833922262,False
26952,N,282.0,0.7833333333333333,76.59574468085107,False
27237,N,285.0,0.7916666666666666,75.78947368421053,False
27536,N,299.0,0.8305555555555556,72.24080267558529,False
27833,N,297.0,0.825,72.72727272727273,False
